152089F00A|Фильтр масляный Nissan Logan/Almera|550|25|Фильтры|Renault|Nissan
VKBA3660|Подшипник ступицы передней Focus 2|3400|8|Подвеска|SKF|Ford
548132H000|Втулка стабилизатора переднего Ceed|450|16|Подвеска|Оригинал|KIA
BKR6EIX11|Свеча зажигания иридиевая Япония|950|40|Электрика|NGK|Универсальный
1578|Свеча зажигания никель Solaris/Rio|450|60|Электрика|NGK|Hyundai
FR7DC+|Свеча зажигания ВАЗ 16 клапанов|280|80|Электрика|Bosch|ВАЗ
242236565|Свеча зажигания Focus 2/Mondeo|650|32|Электрика|Bosch|Ford
ZK0032|Комплект проводов зажигания ВАЗ 2114|1200|12|Электрика|Slon|ВАЗ
21123705010|Катушка зажигания ВАЗ 16кл|1950|10|Электрика|СОАТЭ|ВАЗ
273012B010|Катушка зажигания Solaris/Ceed|3200|6|Электрика|Оригинал|KIA
6001543604|Катушка зажигания Logan 8 клапанов|2400|5|Электрика|Оригинал|Renault
6001546127|Датчик положения коленвала Logan|1100|8|Электрика|Оригинал|Renault
21123855020|Датчик массового расхода воздуха ВАЗ|4800|4|Электрика|Bosch|ВАЗ
5WK96491|Датчик расхода воздуха Газель|5200|3|Электрика|Siemens|ГАЗ
21103701010|Генератор ВАЗ 2110-2112 80А|7400|2|Электрика|КЗАТЭ|ВАЗ
21123708010|Стартер ВАЗ 2110 редукторный|6200|3|Электрика|КЗАТЭ|ВАЗ
21121307010|Насос водяной (помпа) ВАЗ 16кл|1650|12|Охлаждение|ТЗА|ВАЗ
VKPC88615|Насос водяной Focus 2 1.6|2900|6|Охлаждение|SKF|Ford
25192228|Термостат в сборе Cruze/Aveo|4200|5|Охлаждение|GM|Chevrolet
TH648387J|Термостат Logan/Sandero 1.6|850|15|Охлаждение|Vernet|Renault
21081301012|Радиатор охлаждения ВАЗ 2108-21099|2400|4|Охлаждение|ДААЗ|ВАЗ
LRAC0108|Радиатор охлаждения Solaris AT|4800|3|Охлаждение|Luzar|Hyundai
LRF0118|Вентилятор охлаждения в сборе Rio 3|5400|2|Охлаждение|Luzar|KIA
3000951003|Комплект сцепления ВАЗ 2110-2112|6800|5|Трансмиссия|Sachs|ВАЗ
622322600|Комплект сцепления Focus 2 1.6|9800|3|Трансмиссия|LUK|Ford
623330100|Комплект сцепления Solaris/Rio 1.4|8400|4|Трансмиссия|LUK|Hyundai
21081601130|Диск сцепления ведомый ВАЗ 2108|1800|10|Трансмиссия|ВИС|ВАЗ
510002510|Цилиндр сцепления выжимной Focus 3|5200|3|Трансмиссия|LUK|Ford
VKJA3026|ШРУС наружный с пыльником Logan|2600|8|Трансмиссия|SKF|Renault
G14013PC|ШРУС наружный Solaris/Rio|2900|12|Трансмиссия|Pascal|Hyundai
21082215030|Пыльник ШРУСа наружный силикон ВАЗ|350|30|Трансмиссия|Трек|ВАЗ
G4FC-BU|Двигатель 1.6 б/у Solaris/Ceed|75000|1|Разборка|Оригинал|Hyundai
FXJA-CONTR|Двигатель 1.4 контрактный Fiesta/Fusion|68000|1|Разборка|Оригинал|Ford
K4M750-BU|Двигатель 1.6 16V б/у Logan/Duster|82000|1|Разборка|Оригинал|Renault
A15SMS-BU|Двигатель 1.5 б/у Nexia/Lanos|38000|1|Разборка|Оригинал|Daewoo
21126-BU|Двигатель 1.6 16V б/у Приора|35000|2|Разборка|АвтоВАЗ|ВАЗ
JH3005-BU|МКПП коробка передач б/у Logan 1.4|24000|1|Разборка|Оригинал|Renault
M78-AT-BU|АКПП коробка автомат б/у Actyon 2.0|55000|1|Разборка|DSI|SsangYong
IB5-FORD|МКПП коробка передач б/у Focus 2 1.6|28000|1|Разборка|Оригинал|Ford
540103|Рейка рулевая б/у оригинал Focus 2|12000|2|Разборка|TRW|Ford
561109|Компрессор кондиционера б/у Astra H|9500|3|Разборка|Delphi|Opel
571002G000|Насос ГУР б/у Sonata/Magentis|5400|2|Разборка|Оригинал|KIA
F000BL0654|Генератор б/у оригинал Polo Sedan 1.6|6800|3|Разборка|Bosch|VW
63127165741|Фара ксенон левая б/у BMW E60|18000|1|Разборка|Hella|BMW
63127165742|Фара ксенон правая б/у BMW E60|18000|1|Разборка|Hella|BMW
8450031002|Бампер передний б/у под окрас Vesta|4500|2|Разборка|АвтоВАЗ|ВАЗ
5J6807421|Бампер задний б/у Fabia 2|3800|1|Разборка|Оригинал|Skoda
735443301|Капот б/у оригинал Fiat Albea|14000|1|Разборка|Оригинал|Fiat
60100S9A000ZZ|Капот б/у под ремонт CR-V RD5|8500|1|Разборка|Оригинал|Honda
5171701|Дверь передняя левая б/у Focus 3|16000|1|Разборка|Оригинал|Ford
5171702|Дверь передняя правая б/у Focus 3|16000|1|Разборка|Оригинал|Ford
130524|Радиатор б/у оригинал Camry V40 2.4|4800|2|Разборка|Denso|Toyota
401002|Зеркало левое электрика б/у Logan|2200|3|Разборка|Оригинал|Renault
401003|Зеркало правое электрика б/у Logan|2200|2|Разборка|Оригинал|Renault
21106104010|Стекло подъемник передний левый ВАЗ|950|5|Разборка|ДААЗ|ВАЗ
1K0920874B|Панель приборов (щиток) б/у Golf 6|5400|1|Разборка|VDO|VW
340102|Замок зажигания с ключом б/у Lanos|1800|4|Разборка|Оригинал|Daewoo
